top - 03:01:32 up  5:32,  1 user,  load average: 0.29, 0.32, 0.36
Tasks: 159 total,   4 running, 155 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.8 us,  4.9 sy,  0.0 ni, 89.0 id,  0.2 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  1001504 total,   283828 free,   591768 used,   125908 buff/cache
KiB Swap:  1048572 total,   439132 free,   609440 used.   270532 avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
  1131 david     20   0  193792    384      4 S  0.0  0.0   0:02.10 gvfsd-metadata
  1266 david     20   0  593740  10704   6188 S  0.0  1.1   0:21.37 xfce4-terminal
  1272 david     20   0   21116   2640   2204 S  0.0  0.3   0:01.05 bash
  1733 david     20   0 1026816  52344  22148 S  0.0  5.2   4:54.36 sublime_text
  1745 david     20   0  119376   5468   2148 S  0.0  0.5   0:06.78 plugin_host
  9377 david     20   0   21072    264    264 S  0.0  0.0   0:00.12 bash
 12659 david     20   0  971052  14328   8160 S  0.0  1.4   0:19.23 nautilus
 12673 david     20   0  358124    808    808 S  0.0  0.1   0:00.04 gvfsd-burn
 14379 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kworker/u256:0
 16199 root      20   0       0      0      0 S  0.0  0.0   0:04.61 kworker/u256:2
 16590 root      20   0       0      0      0 S  0.0  0.0   0:01.53 kworker/0:1
 18207 root      20   0       0      0      0 S  0.0  0.0   0:00.02 kworker/0:0
 18292 david     39  19  410976  12516   7884 S  0.0  1.2   0:00.22 tumblerd
 18608 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kworker/0:2
